"";"2021-01-22"
"355";"D13208"
"356";"A27660"
"357";"C42508"
"358";"C30229"
"359";"C47623"
"360";"C47813"
"361";"D13015"
"362";"B25574"
"363";"C13039"
"364";"C30022"
"365";"C30057"
"366";"B11548"
"367";"A29168"
"368";"C30289"
"369";"C30295"
"370";"C30301"
"371";"B11550"
"372";"B25605"
"373";"D12103"
"374";"C13152"
"375";"B42632"
"376";"B32519"
"377";"B32812"
"378";"C47584"
"379";"B11530"
"380";"B32530"
"381";"C30271"
"382";"C30257"
"383";"C47747"
"384";"B32825"
"385";"B32811"
"386";"C12040"
"387";"B44695"
"388";"C30261"
"389";"C30137"
"390";"C30259"
"391";"B28542"
"392";"B32628"
"393";"C47790"
"394";"B11537"
"395";"D53673"
"396";"C47803"
"397";"C47572"
"398";"D53597"
"399";"D53536"
"400";"B28555"
"401";"B28615"
"402";"C44615"
"403";"C30307"
"404";"B11533"
"405";"A29017"
"406";"C27112"
"407";"C27195"
"408";"B58113"
"409";"B25539"
"410";"B25569"
"411";"B32600"
"412";"B32618"
"413";"A41073"
"414";"A41215"
"415";"A41441"
"416";"C41155"
"417";"C41364"
"418";"C13048"
"419";"C30001"
"420";"C30102"
"421";"C30352"
"422";"C47531"
"423";"D13089"
"424";"D13153"
"425";"D13239"
"426";"D13250"
"427";"B11609"
"428";"C27041"
"429";"B32599"
"430";"B32799"
"431";"B32813"
"432";"C12022"
"433";"B31162"
"434";"D13102"
"435";"D13146"
"436";"D13219"
"437";"B11621"
"438";"D53521"
"439";"D86792"
"440";"B28556"
"441";"B32547"
"442";"B32753"
"443";"B32789"
"444";"C12030"
"445";"A41150"
"446";"A41437"
"447";"C41161"
"448";"C41355"
"449";"C41374"
"450";"D13182"
"451";"D13262"
"452";"B28583"
"453";"B28743"
"454";"D17048"
"455";"B32637"
"456";"B32751"
"457";"B32791"
"458";"C12031"
"459";"C12046"
"460";"D12141"
"461";"B31001"
"462";"C47463"
"463";"C47748"
"464";"D13122"
"465";"D13267"
"466";"D13296"
"467";"D13384"
"468";"D53716"
"469";"D86200"
"470";"D86398"
"471";"B32560"
"472";"B32564"
"473";"B32727"
"474";"B32752"
"475";"C12045"
"476";"D12156"
"477";"D12157"
"478";"A41291"
"479";"C13045"
"480";"C47467"
"481";"C47634"
"482";"D13318"
"483";"D13339"
"484";"D13373"
"485";"B11618"
"486";"B42608"
"487";"D53579"
"488";"D53646"
"489";"B32538"
"490";"D12168"
"491";"A41047"
"492";"A41322"
"493";"A41440"
"494";"C41054"
"495";"C41332"
"496";"C41349"
"497";"C13135"
"498";"C47654"
"499";"C47841"
"500";"D13034"
"501";"D13199"
"502";"D13332"
"503";"B27137"
"504";"B28607"
"505";"B32655"
"506";"D12107"
"507";"B31137"
"508";"A41289"
"509";"C47676"
"510";"C47737"
"511";"D13104"
"512";"D13181"
"513";"A27544"
"514";"B11516"
"515";"D53618"
"516";"D53720"
"517";"B27065"
"518";"D86146"
"519";"B28508"
"520";"B28541"
"521";"B25523"
"522";"B32516"
"523";"B32706"
"524";"B32807"
"525";"A41186"
"526";"C41339"
"527";"C13093"
"528";"C30212"
"529";"C47563"
"530";"C47601"
"531";"C47886"
"532";"D13088"
"533";"D13191"
"534";"D13214"
"535";"D13229"
"536";"D13270"
"537";"D13282"
"538";"D13311"
"539";"B11505"
"540";"B11511"
"541";"B11579"
"542";"B11674"
"543";"D53653"
"544";"D53683"
"545";"D53729"
"546";"B63008"
"547";"B27001"
"548";"B27129"
"549";"D86012"
"550";"D86195"
"551";"D86219"
"552";"D86408"
"553";"D86758"
"554";"B51515"
"555";"B51520"
"556";"B51521"
"557";"C51510"
"558";"B25541"
"559";"D87753"
"560";"D87860"
"561";"B32765"
"562";"B32797"
"563";"D12142"
"564";"A41100"
"565";"A41187"
"566";"A41444"
"567";"C41305"
"568";"C47514"
"569";"C47788"
"570";"D13017"
"571";"B11590"
"572";"A29006"
"573";"D53615"
"574";"D53668"
"575";"D53923"
"576";"D53928"
"577";"B63041"
"578";"B63102"
"579";"C27197"
"580";"D86108"
"581";"D86210"
"582";"D86336"
"583";"D86700"
"584";"D86733"
"585";"B51507"
"586";"B51511"
"587";"B51586"
"588";"C51509"
"589";"C51561"
"590";"C51575"
"591";"B25502"
"592";"B25572"
"593";"D17007"
"594";"D17071"
"595";"D87831"
"596";"B32517"
"597";"B32798"
"598";"D12169"
"599";"B31114"
"600";"A41245"
"601";"C41119"
"602";"C47528"
"603";"C47764"
"604";"D13216"
"605";"B11617"
"606";"A29060"
"607";"D53541"
"608";"D53620"
"609";"D53924"
"610";"B63036"
"611";"B63080"
"612";"B63104"
"613";"B27042"
"614";"B27047"
"615";"C27118"
"616";"D86186"
"617";"D86410"
"618";"B51505"
"619";"B51513"
"620";"B51523"
"621";"B51618"
"622";"B25603"
"623";"D17157"
"624";"D87724"
"625";"D87885"
"626";"B32581"
"627";"B32707"
"628";"B32716"
"629";"B32718"
"630";"B32747"
"631";"B32790"
"632";"B32843"
"633";"C12021"
"634";"D12164"
"635";"B31120"
"636";"A41033"
"637";"A41204"
"638";"C41361"
"639";"C41392"
"640";"C13071"
"641";"C47645"
"642";"C47765"
"643";"D13099"
"644";"D13129"
"645";"D13147"
"646";"D13194"
"647";"A27683"
"648";"B11528"
"649";"B11561"
"650";"B11584"
"651";"A50080"
"652";"A48034"
"653";"A48138"
"654";"D53510"
"655";"D53545"
"656";"D53670"
"657";"B27071"
"658";"B27099"
"659";"B27113"
"660";"C27057"
"661";"D86073"
"662";"D86175"
"663";"D86275"
"664";"D86790"
"665";"B28534"
"666";"B28588"
"667";"B58048"
"668";"B25503"
"669";"B25522"
"670";"B25543"
"671";"D87710"
"672";"D87830"
"673";"B32556"
"674";"B32565"
"675";"B32572"
"676";"B32583"
"677";"B32589"
"678";"B32596"
"679";"B32777"
"680";"C12048"
"681";"B44584"
"682";"A41014"
"683";"A41074"
"684";"A41295"
"685";"A41443"
"686";"C13059"
"687";"C13137"
"688";"C47582"
"689";"C47786"
"690";"D13054"
"691";"D13121"
"692";"D13171"
"693";"D13179"
"694";"D13264"
"695";"D13265"
"696";"D13303"
"697";"D13315"
"698";"A27615"
"699";"B11587"
"700";"B11592"
"701";"B11611"
"702";"B11612"
"703";"B10004"
"704";"B10006"
"705";"B10028"
"706";"B10048"
"707";"B10075"
"708";"B10083"
"709";"B10086"
"710";"B10090"
"711";"B10102"
"712";"B10106"
"713";"B10116"
"714";"B10117"
"715";"B10121"
"716";"B10129"
"717";"B10142"
"718";"B10146"
"719";"B10195"
"720";"A50011"
"721";"A50019"
"722";"A29051"
"723";"A29061"
"724";"A29186"
"725";"A48007"
"726";"A48017"
"727";"A48022"
"728";"A48028"
"729";"A48040"
"730";"A48044"
"731";"A48066"
"732";"A48074"
"733";"A48099"
"734";"A48103"
"735";"A48145"
"736";"D53585"
"737";"D53602"
"738";"B63049"
"739";"B63060"
"740";"B27051"
"741";"C27117"
"742";"D86134"
"743";"D86277"
"744";"D86279"
"745";"D86323"
"746";"D86707"
"747";"D86780"
"748";"B28538"
"749";"B28568"
"750";"B28573"
"751";"B58117"
"752";"B25582"
"753";"D87709"
"754";"D87886"
"755";"B32514"
"756";"B32595"
"757";"B32604"
"758";"B32652"
"759";"B32661"
"760";"B32708"
"761";"B32754"
"762";"B32810"
"763";"B32830"
"764";"D12143"
"765";"D12158"
"766";"B31005"
"767";"B31012"
"768";"B31130"
"769";"A41015"
"770";"A41077"
"771";"A41147"
"772";"A41218"
"773";"A41436"
"774";"C41160"
"775";"C41202"
"776";"C41380"
"777";"C30021"
"778";"C30172"
"779";"C47473"
"780";"C47482"
"781";"C47509"
"782";"C47684"
"783";"C47725"
"784";"C47752"
"785";"C47890"
"786";"D13097"
"787";"D13243"
"788";"D13259"
"789";"D13372"
"790";"A27663"
"791";"B11552"
"792";"B11576"
"793";"B11701"
"794";"B71156"
"795";"B10049"
"796";"B10061"
"797";"B10085"
"798";"B10148"
"799";"C50032"
"800";"C50033"
"801";"A72097"
"802";"A72138"
"803";"A29034"
"804";"A29171"
"805";"A48039"
"806";"A48072"
"807";"A48075"
"808";"D53556"
"809";"D86055"
"810";"D86397"
"811";"B28559"
"812";"B51554"
"813";"B51598"
"814";"C51558"
"815";"A71561"
"816";"D17066"
"817";"D87713"
"818";"D87887"
"819";"B32654"
"820";"B32656"
"821";"B32720"
"822";"B32833"
"823";"C12023"
"824";"D12109"
"825";"B31020"
"826";"B31037"
"827";"B31056"
"828";"A41018"
"829";"A41099"
"830";"A41142"
"831";"A41180"
"832";"A41225"
"833";"A41238"
"834";"C41252"
"835";"C13047"
"836";"C47754"
"837";"C47879"
"838";"D13022"
"839";"D13117"
"840";"D13130"
"841";"D13142"
"842";"D13188"
"843";"A27611"
"844";"A27617"
