"DataCompleta";"Data";"Hora";"Total";"Intersul";"Internorte";"Transcarioca";"SantaCruz";"BRT"
"2015-02-01 00:00:00";"01/02/2015";"00:00";"1341";"182";"344";"596";"219";"0"
"2015-02-01 00:05:00";"01/02/2015";"00:05";"777";"183";"347";"26";"221";"0"
"2015-02-01 00:10:00";"01/02/2015";"00:10";"745";"174";"332";"31";"208";"0"
"2015-02-01 00:15:00";"01/02/2015";"00:15";"694";"162";"308";"27";"197";"0"
"2015-02-01 00:20:00";"01/02/2015";"00:20";"697";"159";"310";"46";"182";"0"
"2015-02-01 00:25:00";"01/02/2015";"00:25";"1092";"156";"293";"451";"192";"0"
"2015-02-01 00:30:00";"01/02/2015";"00:30";"605";"146";"282";"0";"177";"0"
"2015-02-01 00:35:00";"01/02/2015";"00:35";"561";"131";"266";"0";"164";"0"
"2015-02-01 00:40:00";"01/02/2015";"00:40";"531";"127";"244";"1";"159";"0"
"2015-02-01 00:45:00";"01/02/2015";"00:45";"504";"118";"237";"0";"149";"0"
"2015-02-01 00:50:00";"01/02/2015";"00:50";"486";"115";"230";"1";"140";"0"
"2015-02-01 00:55:00";"01/02/2015";"00:55";"494";"116";"232";"1";"145";"0"
"2015-02-01 01:00:00";"01/02/2015";"01:00";"508";"106";"239";"28";"135";"0"
"2015-02-01 01:05:00";"01/02/2015";"01:05";"479";"108";"219";"27";"125";"0"
"2015-02-01 01:10:00";"01/02/2015";"01:10";"440";"101";"199";"26";"114";"0"
"2015-02-01 01:15:00";"01/02/2015";"01:15";"418";"105";"181";"24";"108";"0"
"2015-02-01 01:20:00";"01/02/2015";"01:20";"407";"99";"182";"22";"104";"0"
"2015-02-01 01:25:00";"01/02/2015";"01:25";"399";"99";"184";"15";"101";"0"
"2015-02-01 01:30:00";"01/02/2015";"01:30";"372";"98";"166";"15";"93";"0"
"2015-02-01 01:35:00";"01/02/2015";"01:35";"373";"94";"173";"16";"90";"0"
"2015-02-01 01:40:00";"01/02/2015";"01:40";"343";"84";"159";"16";"84";"0"
"2015-02-01 01:45:00";"01/02/2015";"01:45";"310";"78";"140";"14";"78";"0"
"2015-02-01 01:50:00";"01/02/2015";"01:50";"295";"72";"134";"12";"77";"0"
"2015-02-01 01:55:00";"01/02/2015";"01:55";"293";"70";"137";"11";"75";"0"
"2015-02-01 02:00:00";"01/02/2015";"02:00";"278";"62";"137";"10";"69";"0"
"2015-02-01 02:05:00";"01/02/2015";"02:05";"261";"59";"124";"13";"65";"0"
"2015-02-01 02:10:00";"01/02/2015";"02:10";"262";"63";"128";"10";"61";"0"
"2015-02-01 02:15:00";"01/02/2015";"02:15";"258";"64";"124";"10";"60";"0"
"2015-02-01 02:20:00";"01/02/2015";"02:20";"258";"71";"121";"11";"55";"0"
"2015-02-01 02:25:00";"01/02/2015";"02:25";"259";"62";"128";"7";"62";"0"
"2015-02-01 02:30:00";"01/02/2015";"02:30";"254";"70";"120";"7";"57";"0"
