"DataCompleta";"Data";"Hora";"Total";"Intersul";"Internorte";"Transcarioca";"SantaCruz";"BRT"
"2018-07-01 00:00:00";"01/07/2018";"00:00";"684";"84";"162";"205";"233";"0"
"2018-07-01 00:05:00";"01/07/2018";"00:05";"1";"0";"0";"0";"1";"0"
"2018-07-01 00:10:00";"01/07/2018";"00:10";"2";"0";"1";"1";"0";"0"
"2018-07-01 00:15:00";"01/07/2018";"00:15";"3";"0";"2";"0";"1";"0"
"2018-07-01 00:20:00";"01/07/2018";"00:20";"1";"0";"1";"0";"0";"0"
"2018-07-01 00:25:00";"01/07/2018";"00:25";"2";"0";"1";"1";"0";"0"
"2018-07-01 00:30:00";"01/07/2018";"00:30";"3";"0";"2";"1";"0";"0"
"2018-07-01 00:35:00";"01/07/2018";"00:35";"3";"0";"1";"2";"0";"0"
"2018-07-01 00:40:00";"01/07/2018";"00:40";"";"";"";"";"";""
"2018-07-01 00:45:00";"01/07/2018";"00:45";"3";"0";"0";"1";"2";"0"
"2018-07-01 00:50:00";"01/07/2018";"00:50";"1";"0";"0";"0";"1";"0"
"2018-07-01 00:55:00";"01/07/2018";"00:55";"1";"1";"0";"0";"0";"0"
"2018-07-01 01:00:00";"01/07/2018";"01:00";"2";"0";"1";"0";"1";"0"
"2018-07-01 01:05:00";"01/07/2018";"01:05";"2";"0";"0";"1";"1";"0"
"2018-07-01 01:10:00";"01/07/2018";"01:10";"";"";"";"";"";""
"2018-07-01 01:15:00";"01/07/2018";"01:15";"2";"0";"0";"1";"1";"0"
"2018-07-01 01:20:00";"01/07/2018";"01:20";"2";"0";"0";"0";"2";"0"
"2018-07-01 01:25:00";"01/07/2018";"01:25";"1";"0";"1";"0";"0";"0"
"2018-07-01 01:30:00";"01/07/2018";"01:30";"";"";"";"";"";""
"2018-07-01 01:35:00";"01/07/2018";"01:35";"11";"3";"4";"0";"4";"0"
"2018-07-01 01:40:00";"01/07/2018";"01:40";"7";"4";"2";"0";"1";"0"
"2018-07-01 01:45:00";"01/07/2018";"01:45";"11";"5";"3";"0";"3";"0"
"2018-07-01 01:50:00";"01/07/2018";"01:50";"20";"7";"9";"3";"1";"0"
"2018-07-01 01:55:00";"01/07/2018";"01:55";"16";"4";"6";"2";"4";"0"
"2018-07-01 02:00:00";"01/07/2018";"02:00";"222";"42";"46";"67";"67";"0"
"2018-07-01 02:05:00";"01/07/2018";"02:05";"213";"43";"42";"65";"63";"0"
"2018-07-01 02:10:00";"01/07/2018";"02:10";"213";"46";"44";"62";"61";"0"
"2018-07-01 02:15:00";"01/07/2018";"02:15";"202";"48";"40";"56";"58";"0"
"2018-07-01 02:20:00";"01/07/2018";"02:20";"200";"41";"47";"61";"51";"0"
"2018-07-01 02:25:00";"01/07/2018";"02:25";"183";"39";"42";"55";"47";"0"
"2018-07-01 02:30:00";"01/07/2018";"02:30";"173";"40";"36";"55";"42";"0"
"2018-07-01 02:35:00";"01/07/2018";"02:35";"171";"37";"34";"55";"45";"0"
"2018-07-01 02:40:00";"01/07/2018";"02:40";"171";"39";"34";"54";"44";"0"
"2018-07-01 02:45:00";"01/07/2018";"02:45";"178";"40";"39";"52";"47";"0"
"2018-07-01 02:50:00";"01/07/2018";"02:50";"172";"39";"41";"48";"44";"0"
"2018-07-01 02:55:00";"01/07/2018";"02:55";"167";"36";"38";"48";"45";"0"
"2018-07-01 03:00:00";"01/07/2018";"03:00";"171";"40";"35";"48";"48";"0"
"2018-07-01 03:05:00";"01/07/2018";"03:05";"161";"38";"29";"45";"49";"0"
"2018-07-01 03:10:00";"01/07/2018";"03:10";"160";"37";"33";"46";"44";"0"
"2018-07-01 03:15:00";"01/07/2018";"03:15";"162";"36";"34";"43";"49";"0"
"2018-07-01 03:20:00";"01/07/2018";"03:20";"162";"34";"37";"43";"48";"0"
