"DataCompleta";"Data";"Hora";"Total";"Intersul";"Internorte";"Transcarioca";"SantaCruz";"BRT"
"2015-08-01 00:00:00";"01/08/2015";"00:00";"1298";"289";"546";"463";"0";"0"
"2015-08-01 00:05:00";"01/08/2015";"00:05";"1243";"272";"521";"439";"11";"0"
"2015-08-01 00:10:00";"01/08/2015";"00:10";"1245";"249";"478";"415";"103";"0"
"2015-08-01 00:15:00";"01/08/2015";"00:15";"683";"106";"150";"329";"98";"0"
"2015-08-01 00:20:00";"01/08/2015";"00:20";"672";"98";"169";"323";"82";"0"
"2015-08-01 00:25:00";"01/08/2015";"00:25";"1179";"202";"404";"359";"214";"0"
"2015-08-01 00:30:00";"01/08/2015";"00:30";"1210";"189";"406";"348";"267";"0"
"2015-08-01 00:35:00";"01/08/2015";"00:35";"1129";"170";"369";"345";"245";"0"
"2015-08-01 00:40:00";"01/08/2015";"00:40";"1092";"168";"344";"336";"244";"0"
"2015-08-01 00:45:00";"01/08/2015";"00:45";"1026";"158";"321";"316";"231";"0"
"2015-08-01 00:50:00";"01/08/2015";"00:50";"957";"152";"294";"299";"212";"0"
"2015-08-01 00:55:00";"01/08/2015";"00:55";"934";"152";"287";"290";"205";"0"
"2015-08-01 01:00:00";"01/08/2015";"01:00";"886";"135";"270";"290";"191";"0"
"2015-08-01 01:05:00";"01/08/2015";"01:05";"843";"127";"248";"290";"178";"0"
"2015-08-01 01:10:00";"01/08/2015";"01:10";"784";"113";"228";"281";"162";"0"
"2015-08-01 01:15:00";"01/08/2015";"01:15";"739";"110";"214";"261";"154";"0"
"2015-08-01 01:20:00";"01/08/2015";"01:20";"705";"99";"211";"243";"152";"0"
"2015-08-01 01:25:00";"01/08/2015";"01:25";"579";"91";"191";"221";"76";"0"
"2015-08-01 01:30:00";"01/08/2015";"01:30";"42";"6";"22";"10";"4";"0"
"2015-08-01 01:35:00";"01/08/2015";"01:35";"62";"5";"33";"18";"6";"0"
"2015-08-01 01:40:00";"01/08/2015";"01:40";"73";"15";"29";"25";"4";"0"
"2015-08-01 01:45:00";"01/08/2015";"01:45";"69";"7";"27";"25";"10";"0"
"2015-08-01 01:50:00";"01/08/2015";"01:50";"71";"11";"27";"30";"3";"0"
"2015-08-01 01:55:00";"01/08/2015";"01:55";"85";"9";"41";"24";"11";"0"
"2015-08-01 02:00:00";"01/08/2015";"02:00";"510";"93";"130";"205";"82";"0"
"2015-08-01 02:05:00";"01/08/2015";"02:05";"488";"79";"131";"203";"75";"0"
"2015-08-01 02:10:00";"01/08/2015";"02:10";"485";"78";"131";"203";"73";"0"
"2015-08-01 02:15:00";"01/08/2015";"02:15";"468";"81";"119";"197";"71";"0"
"2015-08-01 02:20:00";"01/08/2015";"02:20";"467";"86";"125";"197";"59";"0"
"2015-08-01 02:25:00";"01/08/2015";"02:25";"455";"79";"131";"189";"56";"0"
"2015-08-01 02:30:00";"01/08/2015";"02:30";"453";"89";"123";"193";"48";"0"
"2015-08-01 02:35:00";"01/08/2015";"02:35";"458";"83";"125";"190";"60";"0"
"2015-08-01 02:40:00";"01/08/2015";"02:40";"457";"83";"122";"195";"57";"0"
"2015-08-01 02:45:00";"01/08/2015";"02:45";"444";"82";"114";"195";"53";"0"
"2015-08-01 02:50:00";"01/08/2015";"02:50";"453";"79";"128";"188";"58";"0"
"2015-08-01 02:55:00";"01/08/2015";"02:55";"457";"77";"141";"187";"52";"0"
"2015-08-01 03:00:00";"01/08/2015";"03:00";"456";"84";"124";"186";"62";"0"
"2015-08-01 03:05:00";"01/08/2015";"03:05";"434";"78";"112";"184";"60";"0"
"2015-08-01 03:10:00";"01/08/2015";"03:10";"452";"82";"110";"196";"64";"0"
"2015-08-01 03:15:00";"01/08/2015";"03:15";"445";"78";"115";"189";"63";"0"
"2015-08-01 03:20:00";"01/08/2015";"03:20";"449";"81";"110";"189";"69";"0"
"2015-08-01 03:25:00";"01/08/2015";"03:25";"458";"80";"125";"177";"76";"0"
"2015-08-01 03:30:00";"01/08/2015";"03:30";"476";"86";"122";"169";"99";"0"
"2015-08-01 03:35:00";"01/08/2015";"03:35";"473";"77";"114";"183";"99";"0"
"2015-08-01 03:40:00";"01/08/2015";"03:40";"483";"77";"104";"188";"114";"0"
"2015-08-01 03:45:00";"01/08/2015";"03:45";"538";"78";"130";"197";"133";"0"
"2015-08-01 03:50:00";"01/08/2015";"03:50";"569";"79";"149";"192";"149";"0"
"2015-08-01 03:55:00";"01/08/2015";"03:55";"604";"80";"172";"195";"157";"0"
"2015-08-01 04:00:00";"01/08/2015";"04:00";"644";"84";"170";"209";"181";"0"
"2015-08-01 04:05:00";"01/08/2015";"04:05";"686";"87";"174";"225";"200";"0"
"2015-08-01 04:10:00";"01/08/2015";"04:10";"710";"89";"174";"235";"212";"0"
"2015-08-01 04:15:00";"01/08/2015";"04:15";"763";"93";"200";"253";"217";"0"
"2015-08-01 04:20:00";"01/08/2015";"04:20";"805";"97";"227";"257";"224";"0"
"2015-08-01 04:25:00";"01/08/2015";"04:25";"885";"98";"260";"264";"263";"0"
"2015-08-01 04:30:00";"01/08/2015";"04:30";"956";"114";"282";"280";"280";"0"
"2015-08-01 04:35:00";"01/08/2015";"04:35";"997";"122";"301";"292";"282";"0"
"2015-08-01 04:40:00";"01/08/2015";"04:40";"1092";"131";"317";"321";"323";"0"
"2015-08-01 04:45:00";"01/08/2015";"04:45";"1150";"141";"331";"345";"333";"0"
"2015-08-01 04:50:00";"01/08/2015";"04:50";"1262";"161";"369";"379";"353";"0"
"2015-08-01 04:55:00";"01/08/2015";"04:55";"1383";"188";"421";"399";"375";"0"
"2015-08-01 05:00:00";"01/08/2015";"05:00";"1430";"201";"435";"411";"383";"0"
"2015-08-01 05:05:00";"01/08/2015";"05:05";"1548";"230";"462";"438";"418";"0"
"2015-08-01 05:10:00";"01/08/2015";"05:10";"1634";"256";"482";"462";"434";"0"
"2015-08-01 05:15:00";"01/08/2015";"05:15";"1753";"277";"532";"481";"463";"0"
"2015-08-01 05:20:00";"01/08/2015";"05:20";"1864";"306";"570";"510";"478";"0"
"2015-08-01 05:25:00";"01/08/2015";"05:25";"1559";"319";"606";"532";"102";"0"
"2015-08-01 05:30:00";"01/08/2015";"05:30";"2052";"362";"622";"562";"506";"0"
"2015-08-01 05:35:00";"01/08/2015";"05:35";"2213";"387";"689";"608";"529";"0"
"2015-08-01 05:40:00";"01/08/2015";"05:40";"2309";"406";"715";"642";"546";"0"
"2015-08-01 05:45:00";"01/08/2015";"05:45";"2391";"438";"742";"659";"552";"0"
"2015-08-01 05:50:00";"01/08/2015";"05:50";"2468";"459";"793";"667";"549";"0"
"2015-08-01 05:55:00";"01/08/2015";"05:55";"2574";"489";"845";"693";"547";"0"
"2015-08-01 06:00:00";"01/08/2015";"06:00";"2731";"515";"858";"720";"638";"0"
"2015-08-01 06:05:00";"01/08/2015";"06:05";"2747";"544";"907";"752";"544";"0"
"2015-08-01 06:10:00";"01/08/2015";"06:10";"2945";"567";"916";"795";"667";"0"
"2015-08-01 06:15:00";"01/08/2015";"06:15";"2167";"254";"881";"390";"642";"0"
"2015-08-01 06:20:00";"01/08/2015";"06:20";"3062";"591";"994";"823";"654";"0"
"2015-08-01 06:25:00";"01/08/2015";"06:25";"3108";"629";"1027";"853";"599";"0"
"2015-08-01 06:30:00";"01/08/2015";"06:30";"3207";"643";"1040";"877";"647";"0"
