"DataCompleta";"Data";"Hora";"Total";"Intersul";"Internorte";"Transcarioca";"SantaCruz";"BRT"
"2016-06-01 00:00:00";"01/06/2016";"00:00";"1384";"190";"450";"356";"388";"0"
"2016-06-01 00:05:00";"01/06/2016";"00:05";"1361";"175";"462";"346";"378";"0"
"2016-06-01 00:10:00";"01/06/2016";"00:10";"1283";"175";"424";"321";"363";"0"
"2016-06-01 00:15:00";"01/06/2016";"00:15";"1223";"167";"395";"319";"342";"0"
"2016-06-01 00:20:00";"01/06/2016";"00:20";"1163";"151";"368";"314";"330";"0"
"2016-06-01 00:25:00";"01/06/2016";"00:25";"1093";"148";"346";"294";"305";"0"
"2016-06-01 00:30:00";"01/06/2016";"00:30";"1019";"126";"309";"290";"294";"0"
"2016-06-01 00:35:00";"01/06/2016";"00:35";"972";"119";"302";"270";"281";"0"
"2016-06-01 00:40:00";"01/06/2016";"00:40";"930";"120";"297";"243";"270";"0"
"2016-06-01 00:45:00";"01/06/2016";"00:45";"874";"105";"269";"248";"252";"0"
"2016-06-01 00:50:00";"01/06/2016";"00:50";"827";"109";"249";"230";"239";"0"
"2016-06-01 00:55:00";"01/06/2016";"00:55";"778";"89";"228";"229";"232";"0"
"2016-06-01 01:00:00";"01/06/2016";"01:00";"744";"88";"212";"223";"221";"0"
"2016-06-01 01:05:00";"01/06/2016";"01:05";"715";"73";"208";"222";"212";"0"
"2016-06-01 01:10:00";"01/06/2016";"01:10";"694";"74";"216";"207";"197";"0"
"2016-06-01 01:15:00";"01/06/2016";"01:15";"672";"75";"196";"215";"186";"0"
"2016-06-01 01:20:00";"01/06/2016";"01:20";"640";"64";"190";"209";"177";"0"
"2016-06-01 01:25:00";"01/06/2016";"01:25";"583";"59";"171";"188";"165";"0"
"2016-06-01 01:30:00";"01/06/2016";"01:30";"560";"63";"155";"186";"156";"0"
"2016-06-01 01:35:00";"01/06/2016";"01:35";"574";"60";"163";"197";"154";"0"
"2016-06-01 01:40:00";"01/06/2016";"01:40";"538";"61";"162";"173";"142";"0"
"2016-06-01 01:45:00";"01/06/2016";"01:45";"536";"70";"152";"181";"133";"0"
"2016-06-01 01:50:00";"01/06/2016";"01:50";"520";"62";"148";"178";"132";"0"
"2016-06-01 01:55:00";"01/06/2016";"01:55";"498";"55";"147";"175";"121";"0"
"2016-06-01 02:00:00";"01/06/2016";"02:00";"490";"61";"135";"178";"116";"0"
"2016-06-01 02:05:00";"01/06/2016";"02:05";"474";"50";"122";"190";"112";"0"
"2016-06-01 02:10:00";"01/06/2016";"02:10";"441";"59";"118";"165";"99";"0"
"2016-06-01 02:15:00";"01/06/2016";"02:15";"459";"60";"122";"181";"96";"0"
