"DataCompleta";"Data";"Hora";"Total";"Intersul";"Internorte";"Transcarioca";"SantaCruz";"BRT"
"2018-09-01 00:00:00";"01/09/2018";"00:00";"736";"165";"310";"246";"15";"0"
"2018-09-01 00:05:00";"01/09/2018";"00:05";"308";"0";"7";"17";"284";"0"
"2018-09-01 00:10:00";"01/09/2018";"00:10";"301";"0";"1";"17";"283";"0"
"2018-09-01 00:15:00";"01/09/2018";"00:15";"3";"0";"3";"0";"0";"0"
"2018-09-01 00:20:00";"01/09/2018";"00:20";"1";"0";"0";"1";"0";"0"
"2018-09-01 00:25:00";"01/09/2018";"00:25";"3";"1";"1";"1";"0";"0"
"2018-09-01 00:30:00";"01/09/2018";"00:30";"1";"0";"0";"1";"0";"0"
"2018-09-01 00:35:00";"01/09/2018";"00:35";"3";"1";"1";"1";"0";"0"
"2018-09-01 00:40:00";"01/09/2018";"00:40";"2";"0";"1";"1";"0";"0"
"2018-09-01 00:45:00";"01/09/2018";"00:45";"";"";"";"";"";""
"2018-09-01 00:50:00";"01/09/2018";"00:50";"2";"1";"0";"1";"0";"0"
"2018-09-01 00:55:00";"01/09/2018";"00:55";"1";"1";"0";"0";"0";"0"
"2018-09-01 01:00:00";"01/09/2018";"01:00";"1";"1";"0";"0";"0";"0"
"2018-09-01 01:05:00";"01/09/2018";"01:05";"3";"2";"0";"1";"0";"0"
"2018-09-01 01:10:00";"01/09/2018";"01:10";"2";"0";"2";"0";"0";"0"
"2018-09-01 01:15:00";"01/09/2018";"01:15";"";"";"";"";"";""
"2018-09-01 01:20:00";"01/09/2018";"01:20";"1";"1";"0";"0";"0";"0"
"2018-09-01 01:25:00";"01/09/2018";"01:25";"2";"1";"1";"0";"0";"0"
"2018-09-01 01:30:00";"01/09/2018";"01:30";"4";"1";"3";"0";"0";"0"
"2018-09-01 01:35:00";"01/09/2018";"01:35";"6";"3";"3";"0";"0";"0"
"2018-09-01 01:40:00";"01/09/2018";"01:40";"9";"4";"5";"0";"0";"0"
"2018-09-01 01:45:00";"01/09/2018";"01:45";"6";"1";"4";"1";"0";"0"
"2018-09-01 01:50:00";"01/09/2018";"01:50";"7";"2";"2";"3";"0";"0"
"2018-09-01 01:55:00";"01/09/2018";"01:55";"23";"7";"11";"5";"0";"0"
"2018-09-01 02:00:00";"01/09/2018";"02:00";"128";"28";"57";"43";"0";"0"
"2018-09-01 02:05:00";"01/09/2018";"02:05";"178";"55";"62";"61";"0";"0"
"2018-09-01 02:10:00";"01/09/2018";"02:10";"159";"48";"56";"55";"0";"0"
"2018-09-01 02:15:00";"01/09/2018";"02:15";"154";"51";"48";"55";"0";"0"
"2018-09-01 02:20:00";"01/09/2018";"02:20";"153";"49";"50";"54";"0";"0"
"2018-09-01 02:25:00";"01/09/2018";"02:25";"144";"46";"50";"48";"0";"0"
"2018-09-01 02:30:00";"01/09/2018";"02:30";"141";"45";"46";"50";"0";"0"
"2018-09-01 02:35:00";"01/09/2018";"02:35";"146";"47";"50";"49";"0";"0"
"2018-09-01 02:40:00";"01/09/2018";"02:40";"150";"54";"47";"49";"0";"0"
