"DataCompleta";"Data";"Hora";"Total";"Intersul";"Internorte";"Transcarioca";"SantaCruz";"BRT"
"2016-10-01 00:00:00";"01/10/2016";"00:00";"1315";"224";"501";"223";"367";"0"
"2016-10-01 00:05:00";"01/10/2016";"00:05";"1340";"207";"477";"297";"359";"0"
"2016-10-01 00:10:00";"01/10/2016";"00:10";"1276";"194";"444";"296";"342";"0"
"2016-10-01 00:15:00";"01/10/2016";"00:15";"1207";"184";"403";"293";"327";"0"
"2016-10-01 00:20:00";"01/10/2016";"00:20";"1141";"177";"379";"270";"315";"0"
"2016-10-01 00:25:00";"01/10/2016";"00:25";"1091";"164";"373";"249";"305";"0"
"2016-10-01 00:30:00";"01/10/2016";"00:30";"1012";"124";"342";"246";"300";"0"
"2016-10-01 00:35:00";"01/10/2016";"00:35";"921";"65";"322";"241";"293";"0"
"2016-10-01 00:40:00";"01/10/2016";"00:40";"892";"56";"305";"241";"290";"0"
"2016-10-01 00:45:00";"01/10/2016";"00:45";"780";"7";"284";"208";"281";"0"
"2016-10-01 00:50:00";"01/10/2016";"00:50";"749";"7";"279";"204";"259";"0"
"2016-10-01 00:55:00";"01/10/2016";"00:55";"686";"8";"253";"175";"250";"0"
"2016-10-01 01:00:00";"01/10/2016";"01:00";"674";"5";"246";"184";"239";"0"
"2016-10-01 01:05:00";"01/10/2016";"01:05";"595";"6";"227";"144";"218";"0"
"2016-10-01 01:10:00";"01/10/2016";"01:10";"601";"3";"207";"180";"211";"0"
"2016-10-01 01:15:00";"01/10/2016";"01:15";"535";"3";"208";"135";"189";"0"
"2016-10-01 01:20:00";"01/10/2016";"01:20";"537";"3";"196";"160";"178";"0"
"2016-10-01 01:25:00";"01/10/2016";"01:25";"500";"4";"188";"137";"171";"0"
"2016-10-01 01:30:00";"01/10/2016";"01:30";"474";"6";"177";"139";"152";"0"
"2016-10-01 01:35:00";"01/10/2016";"01:35";"475";"2";"170";"151";"152";"0"
"2016-10-01 01:40:00";"01/10/2016";"01:40";"431";"3";"158";"134";"136";"0"
"2016-10-01 01:45:00";"01/10/2016";"01:45";"453";"2";"165";"146";"140";"0"
"2016-10-01 01:50:00";"01/10/2016";"01:50";"409";"3";"148";"126";"132";"0"
"2016-10-01 01:55:00";"01/10/2016";"01:55";"399";"5";"146";"128";"120";"0"
"2016-10-01 02:00:00";"01/10/2016";"02:00";"397";"1";"144";"130";"122";"0"
"2016-10-01 02:05:00";"01/10/2016";"02:05";"402";"2";"145";"140";"115";"0"
"2016-10-01 02:10:00";"01/10/2016";"02:10";"396";"2";"144";"142";"108";"0"
"2016-10-01 02:15:00";"01/10/2016";"02:15";"380";"2";"140";"138";"100";"0"
"2016-10-01 02:20:00";"01/10/2016";"02:20";"358";"3";"125";"132";"98";"0"
"2016-10-01 02:25:00";"01/10/2016";"02:25";"362";"3";"126";"131";"102";"0"
"2016-10-01 02:30:00";"01/10/2016";"02:30";"362";"1";"131";"134";"96";"0"
"2016-10-01 02:35:00";"01/10/2016";"02:35";"345";"2";"123";"121";"99";"0"
