"DataCompleta";"Data";"Hora";"Total";"Intersul";"Internorte";"Transcarioca";"SantaCruz";"BRT"
"2018-06-01 00:00:00";"01/06/2018";"00:00";"513";"56";"133";"142";"182";"0"
"2018-06-01 00:05:00";"01/06/2018";"00:05";"2";"0";"0";"0";"2";"0"
"2018-06-01 00:10:00";"01/06/2018";"00:10";"1";"0";"0";"0";"1";"0"
"2018-06-01 00:15:00";"01/06/2018";"00:15";"1";"0";"0";"0";"1";"0"
"2018-06-01 00:20:00";"01/06/2018";"00:20";"";"";"";"";"";""
"2018-06-01 00:25:00";"01/06/2018";"00:25";"2";"0";"1";"1";"0";"0"
"2018-06-01 00:30:00";"01/06/2018";"00:30";"1";"0";"0";"1";"0";"0"
"2018-06-01 00:35:00";"01/06/2018";"00:35";"1";"0";"0";"0";"1";"0"
"2018-06-01 00:40:00";"01/06/2018";"00:40";"2";"0";"1";"1";"0";"0"
"2018-06-01 00:45:00";"01/06/2018";"00:45";"1";"0";"0";"0";"1";"0"
"2018-06-01 00:50:00";"01/06/2018";"00:50";"1";"0";"0";"0";"1";"0"
"2018-06-01 00:55:00";"01/06/2018";"00:55";"3";"0";"1";"1";"1";"0"
"2018-06-01 01:00:00";"01/06/2018";"01:00";"1";"0";"0";"0";"1";"0"
"2018-06-01 01:05:00";"01/06/2018";"01:05";"3";"0";"1";"0";"2";"0"
"2018-06-01 01:10:00";"01/06/2018";"01:10";"3";"0";"0";"3";"0";"0"
"2018-06-01 01:15:00";"01/06/2018";"01:15";"2";"0";"1";"0";"1";"0"
"2018-06-01 01:20:00";"01/06/2018";"01:20";"3";"1";"0";"1";"1";"0"
"2018-06-01 01:25:00";"01/06/2018";"01:25";"2";"0";"1";"0";"1";"0"
"2018-06-01 01:30:00";"01/06/2018";"01:30";"2";"0";"0";"0";"2";"0"
"2018-06-01 01:35:00";"01/06/2018";"01:35";"9";"2";"4";"2";"1";"0"
"2018-06-01 01:40:00";"01/06/2018";"01:40";"10";"2";"3";"2";"3";"0"
"2018-06-01 01:45:00";"01/06/2018";"01:45";"13";"5";"3";"3";"2";"0"
"2018-06-01 01:50:00";"01/06/2018";"01:50";"16";"7";"5";"2";"2";"0"
"2018-06-01 01:55:00";"01/06/2018";"01:55";"17";"8";"3";"5";"1";"0"
"2018-06-01 02:00:00";"01/06/2018";"02:00";"159";"27";"35";"48";"49";"0"
"2018-06-01 02:05:00";"01/06/2018";"02:05";"164";"36";"34";"49";"45";"0"
"2018-06-01 02:10:00";"01/06/2018";"02:10";"160";"35";"31";"49";"45";"0"
"2018-06-01 02:15:00";"01/06/2018";"02:15";"151";"38";"28";"50";"35";"0"
"2018-06-01 02:20:00";"01/06/2018";"02:20";"149";"37";"31";"47";"34";"0"
"2018-06-01 02:25:00";"01/06/2018";"02:25";"152";"34";"33";"52";"33";"0"
"2018-06-01 02:30:00";"01/06/2018";"02:30";"145";"28";"32";"50";"35";"0"
"2018-06-01 02:35:00";"01/06/2018";"02:35";"149";"26";"36";"53";"34";"0"
"2018-06-01 02:40:00";"01/06/2018";"02:40";"151";"27";"33";"52";"39";"0"
"2018-06-01 02:45:00";"01/06/2018";"02:45";"147";"26";"34";"49";"38";"0"
"2018-06-01 02:50:00";"01/06/2018";"02:50";"148";"25";"36";"49";"38";"0"
"2018-06-01 02:55:00";"01/06/2018";"02:55";"154";"26";"36";"55";"37";"0"
"2018-06-01 03:00:00";"01/06/2018";"03:00";"150";"18";"34";"53";"45";"0"
"2018-06-01 03:05:00";"01/06/2018";"03:05";"170";"26";"43";"55";"46";"0"
"2018-06-01 03:10:00";"01/06/2018";"03:10";"174";"25";"42";"54";"53";"0"
"2018-06-01 03:15:00";"01/06/2018";"03:15";"191";"32";"43";"62";"54";"0"
"2018-06-01 03:20:00";"01/06/2018";"03:20";"199";"34";"46";"67";"52";"0"
"2018-06-01 03:25:00";"01/06/2018";"03:25";"215";"31";"51";"70";"63";"0"
"2018-06-01 03:30:00";"01/06/2018";"03:30";"226";"37";"48";"65";"76";"0"
"2018-06-01 03:35:00";"01/06/2018";"03:35";"278";"39";"72";"75";"92";"0"
"2018-06-01 03:40:00";"01/06/2018";"03:40";"302";"37";"72";"79";"114";"0"
"2018-06-01 03:45:00";"01/06/2018";"03:45";"330";"43";"88";"78";"121";"0"
"2018-06-01 03:50:00";"01/06/2018";"03:50";"363";"47";"100";"83";"133";"0"
"2018-06-01 03:55:00";"01/06/2018";"03:55";"418";"49";"119";"99";"151";"0"
"2018-06-01 04:00:00";"01/06/2018";"04:00";"474";"55";"136";"111";"172";"0"
"2018-06-01 04:05:00";"01/06/2018";"04:05";"549";"74";"153";"128";"194";"0"
"2018-06-01 04:10:00";"01/06/2018";"04:10";"603";"82";"161";"152";"208";"0"
"2018-06-01 04:15:00";"01/06/2018";"04:15";"685";"86";"187";"169";"243";"0"
"2018-06-01 04:20:00";"01/06/2018";"04:20";"749";"97";"214";"181";"257";"0"
"2018-06-01 04:25:00";"01/06/2018";"04:25";"845";"116";"234";"205";"290";"0"
"2018-06-01 04:30:00";"01/06/2018";"04:30";"917";"134";"254";"210";"319";"0"
"2018-06-01 04:35:00";"01/06/2018";"04:35";"1050";"159";"301";"237";"353";"0"
"2018-06-01 04:40:00";"01/06/2018";"04:40";"1182";"187";"335";"265";"395";"0"
"2018-06-01 04:45:00";"01/06/2018";"04:45";"1292";"200";"379";"300";"413";"0"
"2018-06-01 04:50:00";"01/06/2018";"04:50";"1394";"226";"408";"318";"442";"0"
"2018-06-01 04:55:00";"01/06/2018";"04:55";"1538";"239";"454";"367";"478";"0"
"2018-06-01 05:00:00";"01/06/2018";"05:00";"1646";"250";"483";"391";"522";"0"
"2018-06-01 05:05:00";"01/06/2018";"05:05";"1801";"288";"523";"431";"559";"0"
"2018-06-01 05:10:00";"01/06/2018";"05:10";"1941";"328";"556";"464";"593";"0"
"2018-06-01 05:15:00";"01/06/2018";"05:15";"2074";"354";"598";"508";"614";"0"
"2018-06-01 05:20:00";"01/06/2018";"05:20";"2203";"375";"624";"552";"652";"0"
"2018-06-01 05:25:00";"01/06/2018";"05:25";"2354";"408";"667";"595";"684";"0"
"2018-06-01 05:30:00";"01/06/2018";"05:30";"2490";"433";"719";"623";"715";"0"
"2018-06-01 05:35:00";"01/06/2018";"05:35";"2639";"467";"763";"657";"752";"0"
"2018-06-01 05:40:00";"01/06/2018";"05:40";"2712";"473";"789";"682";"768";"0"
"2018-06-01 05:45:00";"01/06/2018";"05:45";"2836";"506";"822";"726";"782";"0"
"2018-06-01 05:50:00";"01/06/2018";"05:50";"2934";"537";"850";"741";"806";"0"
"2018-06-01 05:55:00";"01/06/2018";"05:55";"3024";"552";"878";"771";"823";"0"
"2018-06-01 06:00:00";"01/06/2018";"06:00";"3115";"559";"912";"800";"844";"0"
"2018-06-01 06:05:00";"01/06/2018";"06:05";"3212";"577";"954";"819";"862";"0"
"2018-06-01 06:10:00";"01/06/2018";"06:10";"3313";"597";"988";"851";"877";"0"
"2018-06-01 06:15:00";"01/06/2018";"06:15";"3439";"623";"1030";"894";"892";"0"
"2018-06-01 06:20:00";"01/06/2018";"06:20";"3499";"631";"1051";"913";"904";"0"
"2018-06-01 06:25:00";"01/06/2018";"06:25";"3507";"620";"1057";"931";"899";"0"
"2018-06-01 06:30:00";"01/06/2018";"06:30";"3617";"647";"1079";"961";"930";"0"
"2018-06-01 06:35:00";"01/06/2018";"06:35";"3638";"655";"1093";"970";"920";"0"
"2018-06-01 06:40:00";"01/06/2018";"06:40";"3702";"659";"1129";"986";"928";"0"
"2018-06-01 06:45:00";"01/06/2018";"06:45";"3734";"658";"1151";"999";"926";"0"
"2018-06-01 06:50:00";"01/06/2018";"06:50";"3786";"674";"1171";"1007";"934";"0"
"2018-06-01 06:55:00";"01/06/2018";"06:55";"3823";"677";"1187";"1015";"944";"0"
"2018-06-01 07:00:00";"01/06/2018";"07:00";"3857";"684";"1193";"1030";"950";"0"
"2018-06-01 07:05:00";"01/06/2018";"07:05";"3880";"692";"1204";"1035";"949";"0"
