"DataCompleta";"Data";"Hora";"Total";"Intersul";"Internorte";"Transcarioca";"SantaCruz";"BRT"
"2018-04-01 00:00:00";"01/04/2018";"00:00";"726";"70";"197";"217";"242";"0"
"2018-04-01 00:05:00";"01/04/2018";"00:05";"4";"1";"1";"0";"2";"0"
"2018-04-01 00:10:00";"01/04/2018";"00:10";"2";"1";"0";"1";"0";"0"
"2018-04-01 00:15:00";"01/04/2018";"00:15";"3";"2";"1";"0";"0";"0"
"2018-04-01 00:20:00";"01/04/2018";"00:20";"2";"1";"0";"1";"0";"0"
"2018-04-01 00:25:00";"01/04/2018";"00:25";"4";"2";"1";"0";"1";"0"
"2018-04-01 00:30:00";"01/04/2018";"00:30";"2";"1";"1";"0";"0";"0"
"2018-04-01 00:35:00";"01/04/2018";"00:35";"4";"2";"1";"0";"1";"0"
"2018-04-01 00:40:00";"01/04/2018";"00:40";"2";"1";"0";"1";"0";"0"
"2018-04-01 00:45:00";"01/04/2018";"00:45";"3";"2";"0";"0";"1";"0"
"2018-04-01 00:50:00";"01/04/2018";"00:50";"2";"1";"1";"0";"0";"0"
"2018-04-01 00:55:00";"01/04/2018";"00:55";"3";"1";"1";"0";"1";"0"
"2018-04-01 01:00:00";"01/04/2018";"01:00";"4";"1";"0";"1";"2";"0"
"2018-04-01 01:05:00";"01/04/2018";"01:05";"3";"0";"1";"1";"1";"0"
"2018-04-01 01:10:00";"01/04/2018";"01:10";"2";"0";"1";"1";"0";"0"
"2018-04-01 01:15:00";"01/04/2018";"01:15";"3";"1";"0";"1";"1";"0"
"2018-04-01 01:20:00";"01/04/2018";"01:20";"1";"1";"0";"0";"0";"0"
"2018-04-01 01:25:00";"01/04/2018";"01:25";"1";"0";"0";"1";"0";"0"
"2018-04-01 01:30:00";"01/04/2018";"01:30";"6";"1";"5";"0";"0";"0"
"2018-04-01 01:35:00";"01/04/2018";"01:35";"30";"6";"10";"9";"5";"0"
"2018-04-01 01:40:00";"01/04/2018";"01:40";"27";"3";"5";"16";"3";"0"
