"DataCompleta";"Data";"Hora";"Total";"Intersul";"Internorte";"Transcarioca";"SantaCruz";"BRT"
"2020-04-01 00:00:00";"01/04/2020";"00:00";"196";"20";"40";"44";"43";"49"
"2020-04-01 00:05:00";"01/04/2020";"00:05";"47";"1";"9";"1";"34";"2"
"2020-04-01 00:10:00";"01/04/2020";"00:10";"46";"1";"6";"4";"32";"3"
"2020-04-01 00:15:00";"01/04/2020";"00:15";"54";"3";"8";"9";"31";"3"
"2020-04-01 00:20:00";"01/04/2020";"00:20";"49";"3";"8";"8";"27";"3"
"2020-04-01 00:25:00";"01/04/2020";"00:25";"51";"3";"8";"9";"27";"4"
"2020-04-01 00:30:00";"01/04/2020";"00:30";"51";"3";"8";"11";"25";"4"
"2020-04-01 00:35:00";"01/04/2020";"00:35";"47";"3";"7";"10";"23";"4"
"2020-04-01 00:40:00";"01/04/2020";"00:40";"50";"4";"7";"13";"22";"4"
"2020-04-01 00:45:00";"01/04/2020";"00:45";"54";"4";"10";"15";"21";"4"
"2020-04-01 00:50:00";"01/04/2020";"00:50";"54";"3";"8";"18";"21";"4"
"2020-04-01 00:55:00";"01/04/2020";"00:55";"54";"2";"7";"19";"21";"5"
"2020-04-01 01:00:00";"01/04/2020";"01:00";"51";"2";"7";"18";"19";"5"
"2020-04-01 01:05:00";"01/04/2020";"01:05";"49";"2";"8";"18";"16";"5"
"2020-04-01 01:10:00";"01/04/2020";"01:10";"48";"2";"9";"17";"15";"5"
"2020-04-01 01:15:00";"01/04/2020";"01:15";"48";"2";"10";"16";"15";"5"
"2020-04-01 01:20:00";"01/04/2020";"01:20";"48";"2";"8";"18";"15";"5"
"2020-04-01 01:25:00";"01/04/2020";"01:25";"50";"2";"9";"18";"16";"5"
"2020-04-01 01:30:00";"01/04/2020";"01:30";"50";"2";"9";"16";"14";"9"
"2020-04-01 01:35:00";"01/04/2020";"01:35";"48";"3";"10";"17";"11";"7"
"2020-04-01 01:40:00";"01/04/2020";"01:40";"39";"2";"7";"15";"10";"5"
"2020-04-01 01:45:00";"01/04/2020";"01:45";"41";"2";"7";"15";"10";"7"
"2020-04-01 01:50:00";"01/04/2020";"01:50";"40";"2";"7";"15";"8";"8"
"2020-04-01 01:55:00";"01/04/2020";"01:55";"42";"2";"7";"15";"10";"8"
"2020-04-01 02:00:00";"01/04/2020";"02:00";"38";"2";"5";"14";"9";"8"
"2020-04-01 02:05:00";"01/04/2020";"02:05";"38";"1";"5";"14";"10";"8"
"2020-04-01 02:10:00";"01/04/2020";"02:10";"33";"1";"4";"13";"7";"8"
"2020-04-01 02:15:00";"01/04/2020";"02:15";"31";"1";"4";"13";"7";"6"
"2020-04-01 02:20:00";"01/04/2020";"02:20";"31";"1";"4";"12";"7";"7"
"2020-04-01 02:25:00";"01/04/2020";"02:25";"35";"3";"3";"12";"9";"8"
"2020-04-01 02:30:00";"01/04/2020";"02:30";"33";"2";"4";"13";"6";"8"
"2020-04-01 02:35:00";"01/04/2020";"02:35";"34";"2";"5";"13";"7";"7"
"2020-04-01 02:40:00";"01/04/2020";"02:40";"33";"2";"5";"12";"7";"7"
"2020-04-01 02:45:00";"01/04/2020";"02:45";"36";"2";"6";"13";"8";"7"
"2020-04-01 02:50:00";"01/04/2020";"02:50";"37";"3";"6";"12";"9";"7"
"2020-04-01 02:55:00";"01/04/2020";"02:55";"39";"2";"7";"12";"12";"6"
"2020-04-01 03:00:00";"01/04/2020";"03:00";"49";"3";"10";"14";"15";"7"
"2020-04-01 03:05:00";"01/04/2020";"03:05";"69";"3";"12";"21";"24";"9"
"2020-04-01 03:10:00";"01/04/2020";"03:10";"75";"6";"14";"21";"26";"8"
"2020-04-01 03:15:00";"01/04/2020";"03:15";"81";"6";"17";"22";"28";"8"
"2020-04-01 03:20:00";"01/04/2020";"03:20";"83";"6";"19";"20";"30";"8"
"2020-04-01 03:25:00";"01/04/2020";"03:25";"91";"8";"21";"22";"33";"7"
"2020-04-01 03:30:00";"01/04/2020";"03:30";"96";"8";"20";"27";"33";"8"
"2020-04-01 03:35:00";"01/04/2020";"03:35";"105";"8";"21";"30";"38";"8"
"2020-04-01 03:40:00";"01/04/2020";"03:40";"122";"9";"28";"31";"46";"8"
"2020-04-01 03:45:00";"01/04/2020";"03:45";"151";"8";"41";"36";"53";"13"
"2020-04-01 03:50:00";"01/04/2020";"03:50";"173";"10";"48";"41";"60";"14"
"2020-04-01 03:55:00";"01/04/2020";"03:55";"208";"12";"57";"43";"77";"19"
"2020-04-01 04:00:00";"01/04/2020";"04:00";"259";"17";"77";"46";"93";"26"
"2020-04-01 04:05:00";"01/04/2020";"04:05";"299";"29";"93";"52";"98";"27"
"2020-04-01 04:10:00";"01/04/2020";"04:10";"328";"35";"97";"56";"113";"27"
"2020-04-01 04:15:00";"01/04/2020";"04:15";"361";"36";"114";"63";"119";"29"
"2020-04-01 04:20:00";"01/04/2020";"04:20";"404";"43";"125";"73";"129";"34"
"2020-04-01 04:25:00";"01/04/2020";"04:25";"443";"50";"144";"76";"133";"40"
"2020-04-01 04:30:00";"01/04/2020";"04:30";"502";"64";"162";"84";"146";"46"
"2020-04-01 04:35:00";"01/04/2020";"04:35";"542";"66";"169";"94";"160";"53"
"2020-04-01 04:40:00";"01/04/2020";"04:40";"598";"78";"192";"103";"167";"58"
"2020-04-01 04:45:00";"01/04/2020";"04:45";"645";"94";"205";"118";"169";"59"
"2020-04-01 04:50:00";"01/04/2020";"04:50";"709";"102";"232";"131";"180";"64"
"2020-04-01 04:55:00";"01/04/2020";"04:55";"758";"112";"247";"143";"190";"66"
"2020-04-01 05:00:00";"01/04/2020";"05:00";"840";"123";"277";"162";"208";"70"
"2020-04-01 05:05:00";"01/04/2020";"05:05";"892";"142";"293";"168";"215";"74"
"2020-04-01 05:10:00";"01/04/2020";"05:10";"960";"158";"316";"183";"226";"77"
"2020-04-01 05:15:00";"01/04/2020";"05:15";"1027";"171";"332";"205";"234";"85"
"2020-04-01 05:20:00";"01/04/2020";"05:20";"1077";"190";"345";"217";"236";"89"
"2020-04-01 05:25:00";"01/04/2020";"05:25";"1158";"205";"365";"239";"255";"94"
"2020-04-01 05:30:00";"01/04/2020";"05:30";"1206";"217";"386";"255";"254";"94"
"2020-04-01 05:35:00";"01/04/2020";"05:35";"1280";"227";"411";"279";"264";"99"
"2020-04-01 05:40:00";"01/04/2020";"05:40";"1316";"236";"431";"283";"266";"100"
"2020-04-01 05:45:00";"01/04/2020";"05:45";"1383";"255";"453";"302";"269";"104"
"2020-04-01 05:50:00";"01/04/2020";"05:50";"1426";"256";"474";"308";"283";"105"
"2020-04-01 05:55:00";"01/04/2020";"05:55";"1483";"271";"490";"324";"287";"111"
"2020-04-01 06:00:00";"01/04/2020";"06:00";"1532";"273";"504";"350";"291";"114"
"2020-04-01 06:05:00";"01/04/2020";"06:05";"1586";"287";"530";"361";"293";"115"
"2020-04-01 06:10:00";"01/04/2020";"06:10";"1623";"296";"539";"373";"301";"114"
"2020-04-01 06:15:00";"01/04/2020";"06:15";"1637";"304";"549";"374";"295";"115"
"2020-04-01 06:20:00";"01/04/2020";"06:20";"1670";"303";"559";"389";"305";"114"
