"DataCompleta";"Data";"Hora";"Total";"Intersul";"Internorte";"Transcarioca";"SantaCruz";"BRT"
"2017-02-01 00:00:00";"01/02/2017";"00:00";"585";"60";"163";"234";"128";"0"
"2017-02-01 00:05:00";"01/02/2017";"00:05";"18";"6";"3";"2";"7";"0"
"2017-02-01 00:10:00";"01/02/2017";"00:10";"12";"4";"2";"2";"4";"0"
"2017-02-01 00:15:00";"01/02/2017";"00:15";"7";"2";"4";"0";"1";"0"
"2017-02-01 00:20:00";"01/02/2017";"00:20";"13";"3";"3";"0";"7";"0"
"2017-02-01 00:25:00";"01/02/2017";"00:25";"7";"3";"1";"0";"3";"0"
"2017-02-01 00:30:00";"01/02/2017";"00:30";"10";"2";"4";"2";"2";"0"
"2017-02-01 00:35:00";"01/02/2017";"00:35";"5";"1";"2";"0";"2";"0"
"2017-02-01 00:40:00";"01/02/2017";"00:40";"11";"4";"5";"1";"1";"0"
"2017-02-01 00:45:00";"01/02/2017";"00:45";"7";"3";"2";"1";"1";"0"
"2017-02-01 00:50:00";"01/02/2017";"00:50";"8";"2";"4";"0";"2";"0"
"2017-02-01 00:55:00";"01/02/2017";"00:55";"14";"3";"3";"1";"7";"0"
"2017-02-01 01:00:00";"01/02/2017";"01:00";"9";"3";"3";"1";"2";"0"
"2017-02-01 01:05:00";"01/02/2017";"01:05";"9";"2";"4";"2";"1";"0"
"2017-02-01 01:10:00";"01/02/2017";"01:10";"14";"3";"5";"2";"4";"0"
"2017-02-01 01:15:00";"01/02/2017";"01:15";"20";"3";"8";"3";"6";"0"
"2017-02-01 01:20:00";"01/02/2017";"01:20";"13";"3";"6";"3";"1";"0"
"2017-02-01 01:25:00";"01/02/2017";"01:25";"17";"2";"8";"5";"2";"0"
"2017-02-01 01:30:00";"01/02/2017";"01:30";"21";"5";"8";"6";"2";"0"
"2017-02-01 01:35:00";"01/02/2017";"01:35";"32";"6";"14";"11";"1";"0"
"2017-02-01 01:40:00";"01/02/2017";"01:40";"53";"13";"23";"15";"2";"0"
"2017-02-01 01:45:00";"01/02/2017";"01:45";"63";"13";"29";"19";"2";"0"
"2017-02-01 01:50:00";"01/02/2017";"01:50";"65";"13";"21";"30";"1";"0"
"2017-02-01 01:55:00";"01/02/2017";"01:55";"72";"14";"34";"20";"4";"0"
"2017-02-01 02:00:00";"01/02/2017";"02:00";"363";"42";"100";"159";"62";"0"
"2017-02-01 02:05:00";"01/02/2017";"02:05";"375";"57";"89";"169";"60";"0"
"2017-02-01 02:10:00";"01/02/2017";"02:10";"392";"52";"101";"174";"65";"0"
"2017-02-01 02:15:00";"01/02/2017";"02:15";"401";"58";"92";"180";"71";"0"
"2017-02-01 02:20:00";"01/02/2017";"02:20";"418";"57";"95";"189";"77";"0"
"2017-02-01 02:25:00";"01/02/2017";"02:25";"444";"59";"103";"200";"82";"0"
"2017-02-01 02:30:00";"01/02/2017";"02:30";"472";"69";"112";"201";"90";"0"
"2017-02-01 02:35:00";"01/02/2017";"02:35";"471";"59";"104";"203";"105";"0"
"2017-02-01 02:40:00";"01/02/2017";"02:40";"489";"58";"115";"202";"114";"0"
"2017-02-01 02:45:00";"01/02/2017";"02:45";"539";"67";"132";"218";"122";"0"
"2017-02-01 02:50:00";"01/02/2017";"02:50";"602";"68";"150";"241";"143";"0"
"2017-02-01 02:55:00";"01/02/2017";"02:55";"672";"76";"174";"249";"173";"0"
"2017-02-01 03:00:00";"01/02/2017";"03:00";"737";"86";"212";"253";"186";"0"
"2017-02-01 03:05:00";"01/02/2017";"03:05";"834";"101";"211";"296";"226";"0"
"2017-02-01 03:10:00";"01/02/2017";"03:10";"878";"103";"233";"314";"228";"0"
"2017-02-01 03:15:00";"01/02/2017";"03:15";"956";"119";"267";"329";"241";"0"
"2017-02-01 03:20:00";"01/02/2017";"03:20";"1050";"116";"292";"360";"282";"0"
"2017-02-01 03:25:00";"01/02/2017";"03:25";"1113";"127";"317";"387";"282";"0"
"2017-02-01 03:30:00";"01/02/2017";"03:30";"1223";"158";"351";"414";"300";"0"
