"DataCompleta";"Data";"Hora";"Total";"Intersul";"Internorte";"Transcarioca";"SantaCruz";"BRT"
"2016-08-01 00:00:00";"01/08/2016";"00:00";"995";"159";"294";"296";"246";"0"
"2016-08-01 00:05:00";"01/08/2016";"00:05";"1013";"163";"304";"297";"249";"0"
"2016-08-01 00:10:00";"01/08/2016";"00:10";"985";"160";"299";"296";"230";"0"
"2016-08-01 00:15:00";"01/08/2016";"00:15";"937";"152";"270";"289";"226";"0"
"2016-08-01 00:20:00";"01/08/2016";"00:20";"886";"147";"257";"266";"216";"0"
"2016-08-01 00:25:00";"01/08/2016";"00:25";"879";"151";"256";"275";"197";"0"
"2016-08-01 00:30:00";"01/08/2016";"00:30";"848";"134";"251";"277";"186";"0"
"2016-08-01 00:35:00";"01/08/2016";"00:35";"824";"126";"237";"276";"185";"0"
"2016-08-01 00:40:00";"01/08/2016";"00:40";"779";"126";"222";"258";"173";"0"
"2016-08-01 00:45:00";"01/08/2016";"00:45";"763";"118";"219";"252";"174";"0"
"2016-08-01 00:50:00";"01/08/2016";"00:50";"711";"93";"195";"251";"172";"0"
"2016-08-01 00:55:00";"01/08/2016";"00:55";"683";"104";"175";"247";"157";"0"
"2016-08-01 01:00:00";"01/08/2016";"01:00";"700";"115";"186";"245";"154";"0"
"2016-08-01 01:05:00";"01/08/2016";"01:05";"660";"99";"174";"237";"150";"0"
"2016-08-01 01:10:00";"01/08/2016";"01:10";"640";"103";"173";"225";"139";"0"
"2016-08-01 01:15:00";"01/08/2016";"01:15";"643";"107";"164";"227";"145";"0"
"2016-08-01 01:20:00";"01/08/2016";"01:20";"610";"99";"153";"221";"137";"0"
"2016-08-01 01:25:00";"01/08/2016";"01:25";"597";"101";"143";"220";"133";"0"
"2016-08-01 01:30:00";"01/08/2016";"01:30";"619";"118";"144";"231";"126";"0"
"2016-08-01 01:35:00";"01/08/2016";"01:35";"612";"114";"155";"225";"118";"0"
"2016-08-01 01:40:00";"01/08/2016";"01:40";"590";"116";"146";"211";"117";"0"
"2016-08-01 01:45:00";"01/08/2016";"01:45";"356";"69";"66";"191";"30";"0"
"2016-08-01 01:50:00";"01/08/2016";"01:50";"313";"68";"94";"69";"82";"0"
"2016-08-01 01:55:00";"01/08/2016";"01:55";"383";"84";"130";"71";"98";"0"
"2016-08-01 02:00:00";"01/08/2016";"02:00";"550";"99";"141";"203";"107";"0"
"2016-08-01 02:05:00";"01/08/2016";"02:05";"531";"92";"125";"215";"99";"0"
"2016-08-01 02:10:00";"01/08/2016";"02:10";"539";"94";"134";"214";"97";"0"
"2016-08-01 02:15:00";"01/08/2016";"02:15";"518";"89";"126";"203";"100";"0"
"2016-08-01 02:20:00";"01/08/2016";"02:20";"526";"81";"132";"215";"98";"0"
"2016-08-01 02:25:00";"01/08/2016";"02:25";"513";"83";"125";"209";"96";"0"
"2016-08-01 02:30:00";"01/08/2016";"02:30";"537";"93";"137";"213";"94";"0"
"2016-08-01 02:35:00";"01/08/2016";"02:35";"535";"89";"129";"222";"95";"0"
"2016-08-01 02:40:00";"01/08/2016";"02:40";"536";"82";"137";"222";"95";"0"
"2016-08-01 02:45:00";"01/08/2016";"02:45";"513";"77";"127";"209";"100";"0"
"2016-08-01 02:50:00";"01/08/2016";"02:50";"509";"76";"119";"212";"102";"0"
"2016-08-01 02:55:00";"01/08/2016";"02:55";"498";"73";"118";"206";"101";"0"
"2016-08-01 03:00:00";"01/08/2016";"03:00";"539";"89";"125";"217";"108";"0"
"2016-08-01 03:05:00";"01/08/2016";"03:05";"558";"91";"127";"226";"114";"0"
"2016-08-01 03:10:00";"01/08/2016";"03:10";"555";"89";"131";"217";"118";"0"
"2016-08-01 03:15:00";"01/08/2016";"03:15";"576";"81";"143";"225";"127";"0"
"2016-08-01 03:20:00";"01/08/2016";"03:20";"569";"87";"136";"215";"131";"0"
"2016-08-01 03:25:00";"01/08/2016";"03:25";"580";"88";"135";"220";"137";"0"
"2016-08-01 03:30:00";"01/08/2016";"03:30";"636";"99";"150";"229";"158";"0"
"2016-08-01 03:35:00";"01/08/2016";"03:35";"660";"102";"151";"231";"176";"0"
"2016-08-01 03:40:00";"01/08/2016";"03:40";"699";"105";"169";"232";"193";"0"
"2016-08-01 03:45:00";"01/08/2016";"03:45";"739";"104";"185";"239";"211";"0"
"2016-08-01 03:50:00";"01/08/2016";"03:50";"810";"116";"203";"250";"241";"0"
"2016-08-01 03:55:00";"01/08/2016";"03:55";"884";"133";"221";"264";"266";"0"
"2016-08-01 04:00:00";"01/08/2016";"04:00";"978";"146";"255";"290";"287";"0"
"2016-08-01 04:05:00";"01/08/2016";"04:05";"1091";"171";"278";"313";"329";"0"
"2016-08-01 04:10:00";"01/08/2016";"04:10";"1211";"186";"325";"336";"364";"0"
"2016-08-01 04:15:00";"01/08/2016";"04:15";"1252";"193";"338";"342";"379";"0"
"2016-08-01 04:20:00";"01/08/2016";"04:20";"1379";"222";"373";"366";"418";"0"
"2016-08-01 04:25:00";"01/08/2016";"04:25";"1482";"244";"400";"381";"457";"0"
"2016-08-01 04:30:00";"01/08/2016";"04:30";"1587";"260";"437";"406";"484";"0"
"2016-08-01 04:35:00";"01/08/2016";"04:35";"1683";"250";"492";"418";"523";"0"
"2016-08-01 04:40:00";"01/08/2016";"04:40";"1844";"300";"515";"465";"564";"0"
"2016-08-01 04:45:00";"01/08/2016";"04:45";"1995";"319";"580";"495";"601";"0"
"2016-08-01 04:50:00";"01/08/2016";"04:50";"2114";"346";"615";"523";"630";"0"
"2016-08-01 04:55:00";"01/08/2016";"04:55";"2262";"393";"661";"556";"652";"0"
"2016-08-01 05:00:00";"01/08/2016";"05:00";"2522";"452";"745";"621";"704";"0"
"2016-08-01 05:05:00";"01/08/2016";"05:05";"2707";"502";"808";"660";"737";"0"
"2016-08-01 05:10:00";"01/08/2016";"05:10";"2865";"528";"855";"703";"779";"0"
"2016-08-01 05:15:00";"01/08/2016";"05:15";"3026";"575";"923";"721";"807";"0"
"2016-08-01 05:20:00";"01/08/2016";"05:20";"3211";"617";"980";"757";"857";"0"
"2016-08-01 05:25:00";"01/08/2016";"05:25";"3356";"647";"1016";"806";"887";"0"
"2016-08-01 05:30:00";"01/08/2016";"05:30";"3540";"698";"1088";"852";"902";"0"
"2016-08-01 05:35:00";"01/08/2016";"05:35";"3736";"756";"1169";"886";"925";"0"
"2016-08-01 05:40:00";"01/08/2016";"05:40";"3888";"781";"1214";"927";"966";"0"
"2016-08-01 05:45:00";"01/08/2016";"05:45";"4011";"819";"1269";"951";"972";"0"
"2016-08-01 05:50:00";"01/08/2016";"05:50";"4177";"854";"1316";"1002";"1005";"0"
"2016-08-01 05:55:00";"01/08/2016";"05:55";"4321";"888";"1366";"1040";"1027";"0"
"2016-08-01 06:00:00";"01/08/2016";"06:00";"4481";"929";"1419";"1088";"1045";"0"
"2016-08-01 06:05:00";"01/08/2016";"06:05";"4619";"965";"1474";"1121";"1059";"0"
"2016-08-01 06:10:00";"01/08/2016";"06:10";"4723";"983";"1511";"1149";"1080";"0"
